Name	Set	ImageFile	Category	Level	Color	PlayCost	DigivolutionCost	DP	Attribute	Type
Tai Kamiya/BT1-085	BT1	BT1-085.png	Tamer	-	Red	4	-	-	-	-
Matt Ishida/BT1-086	BT1	BT1-086.png	Tamer	-	Blue	4	-	-	-	-
T.K. Takaishi/BT1-087	BT1	BT1-087.png	Tamer	-	Yellow	4	-	-	-	-
Izzy Izumi/BT1-088	BT1	BT1-088.png	Tamer	-	Green	2	-	-	-	-
Mimi Tachikawa/BT1-089	BT1	BT1-089.png	Tamer	-	Green	4	-	-	-	-
Sora Takenouchi/BT2-084	BT2	BT2-084.png	Tamer	-	Red	3	-	-	-	-
Joe Kido/BT2-085	BT2	BT2-085.png	Tamer	-	Blue	3	-	-	-	-
Kari Kamiya/BT2-087	BT2	BT2-087.png	Tamer	-	Yellow	3	-	-	-	-
Tai Kamiya/BT2-089	BT2	BT2-089.png	Tamer	-	Black	4	-	-	-	-
Matt Ishida/BT2-090	BT2	BT2-090.png	Tamer	-	Purple	4	-	-	-	-
Agumon/BT1-010	BT1	BT1-010.png	Digimon	3	Red	3	0	2000	Vaccine	Reptile
Gabumon/BT1-029	BT1	BT1-029.png	Digimon	3	Blue	3	0	1000	Data	Reptile
MetalSeadramon/BT2-030	BT2	BT2-030.png	Digimon	6	Blue	11	3	10000	Data	Cyborg
Puppetmon/BT2-049	BT2	BT2-049.png	Digimon	6	Green	11	3	10000	Virus	Puppet
Machinedramon/BT2-066	BT2	BT2-066.png	Digimon	6	Black	12	4	11000	Virus	Machine
Machinedramon/BT2-066	BT2	BT2-066_P2.png	Digimon	6	Black	12	4	11000	Virus	Machine
Machinedramon/BT2-066	BT2	BT2-066_P3.png	Digimon	6	Black	12	4	11000	Virus	Machine
Machinedramon/BT2-066	BT2	BT2-066_P4.png	Digimon	6	Black	12	4	11000	Virus	Machine
Yokomon/BT1-001	BT1	BT1-001.png	Digi-Egg	2	Red	-	-	-	-	Bulb
Bebydomon/BT1-002	BT1	BT1-002.png	Digi-Egg	2	Red	-	-	-	-	Baby Dragon
Upamon/BT1-003	BT1	BT1-003.png	Digi-Egg	2	Blue	-	-	-	-	Amphibian
Wanyamon/BT1-004	BT1	BT1-004.png	Digi-Egg	2	Blue	-	-	-	-	Lesser
Kyaromon/BT1-005	BT1	BT1-005.png	Digi-Egg	2	Yellow	-	-	-	-	Lesser
Cupimon/BT1-006	BT1	BT1-006.png	Digi-Egg	2	Yellow	-	-	-	-	Mini Angel
Tanemon/BT1-007	BT1	BT1-007.png	Digi-Egg	2	Green	-	-	-	-	Bulb
Frimon/BT1-008	BT1	BT1-008.png	Digi-Egg	2	Green	-	-	-	-	Lesser
Kapurimon/BT2-005	BT2	BT2-005.png	Digi-Egg	2	Black	-	-	-	-	Lesser
Tsumemon/BT2-006	BT2	BT2-006.png	Digi-Egg	2	Black	-	-	-	-	Unidentified
Pagumon/BT2-007	BT2	BT2-007.png	Digi-Egg	2	Purple	-	-	-	-	Lesser
Yaamon/BT2-008	BT2	BT2-008.png	Digi-Egg	2	Purple	-	-	-	-	Lesser
Monodramon/BT1-009	BT1	BT1-009.png	Digimon	3	Red	2	0	3000	Vaccine	Mini Dragon
Agumon/BT1-010	BT1	BT1-010_P1.png	Digimon	3	Red	3	0	2000	Vaccine	Reptile
