Name	Set	ImageFile	Category	Level	Color	PlayCost	DVCost	DP	Attribute	Type
Gigimon/BT2-001	BT2	BT2-001.png	Digi-Egg	2	Red	-	-	-	-	Lesser
DemiVeemon/BT2-002	BT2	BT2-002.png	Digi-Egg	2	Blue	-	-	-	-	Baby Dragon
Nyaromon/BT2-003	BT2	BT2-003.png	Digi-Egg	2	Yellow	-	-	-	-	Lesser
Argomon /BT2-004	BT2	BT2-004.png	Digi-Egg	2	Green	-	-	-	-	Mutant
Poromon/BT3-001	BT3	BT3-001.png	Digi-Egg	2	Red	-	-	-	-	Mini Bird
DemiVeemon/BT3-002	BT3	BT3-002.png	Digi-Egg	2	Blue	-	-	-	-	Baby Dragon
Upamon/BT3-003	BT3	BT3-003.png	Digi-Egg	2	Yellow	-	-	-	-	Amphibian
Minomon/BT3-004	BT3	BT3-004.png	Digi-Egg	2	Green	-	-	-	-	Larva
Kakkinmon/BT3-005	BT3	BT3-005.png	Digi-Egg	2	Black	-	-	-	-	Armor
DemiMeramon/BT3-006	BT3	BT3-006.png	Digi-Egg	2	Purple	-	-	-	-	Flame
GranKuwagamon/BT1-083	BT1	BT1-083.png	Digimon	6	Green	13	4	11000	Free	Insectoid
GranKuwagamon/BT1-083_P1	BT1	BT1-083_P1.png	Digimon	6	Green	13	4	11000	Free	Insectoid
Biyomon/BT2-010	BT2	BT2-010.png	Digimon	3	Red	3	0	2000	Vaccine	Bird
Vorvomon/BT2-011	BT2	BT2-011.png	Digimon	3	Red	4	0	5000	Virus	Rock Dragon
Birdramon/BT2-012	BT2	BT2-012.png	Digimon	4	Red	4	2	3000	Vaccine	Giant Bird
Birdramon/BT2-012_P1	BT2	BT2-012_P1.png	Digimon	4	Red	4	2	3000	Vaccine	Giant Bird
Lavorvomon/BT2-014	BT2	BT2-014.png	Digimon	4	Red	5	2	6000	Virus	Rock Dragon
Garudamon/BT2-015	BT2	BT2-015.png	Digimon	5	Red	6	3	7000	Vaccine	Birdkin
Garudamon/BT2-015_P1	BT2	BT2-015_P1.png	Digimon	5	Red	6	3	7000	Vaccine	Birdkin
Lavogaritamon/BT2-016	BT2	BT2-016.png	Digimon	5	Red	7	2	8000	Virus	Rock Dragon
Phoenixmon/BT2-019	BT2	BT2-019.png	Digimon	6	Red	11	3	11000	Vaccine	Holy Beast
Veemon/BT2-021	BT2	BT2-021.png	Digimon	3	Blue	3	0	2000	Free	Mini Dragon
Veemon/BT2-021_P1	BT2	BT2-021_P1.png	Digimon	3	Blue	3	0	2000	Free	Mini Dragon
Betamon/BT2-022	BT2	BT2-022.png	Digimon	3	Blue	3	1	5000	Virus	Amphibian
Gomamon/BT2-023	BT2	BT2-023.png	Digimon	3	Blue	4	0	2000	Vaccine	Sea Beast
Seadramon/BT2-024	BT2	BT2-024.png	Digimon	4	Blue	3	2	4000	Data	Sea Animal
Ikkakumon/BT2-025	BT2	BT2-025.png	Digimon	4	Blue	5	2	3000	Vaccine	Sea Beast
Ikkakumon/BT2-025_P1	BT2	BT2-025_P1.png	Digimon	4	Blue	5	2	3000	Vaccine	Sea Beast
Veedramon/BT2-026	BT2	BT2-026.png	Digimon	4	Blue	5	2	5000	Vaccine	Mythical Dragon
Veedramon/BT2-026_P1	BT2	BT2-026_P1.png	Digimon	4	Blue	5	2	5000	Vaccine	Mythical Dragon
Zudomon/BT2-027	BT2	BT2-027.png	Digimon	5	Blue	6	3	9000	Vaccine	Sea Beast
Zudomon/BT2-027_P1	BT2	BT2-027_P1.png	Digimon	5	Blue	6	3	9000	Vaccine	Sea Beast
AeroVeedramon/BT2-028	BT2	BT2-028.png	Digimon	5	Blue	8	3	7000	Vaccine	Holy Dragon
AeroVeedramon/BT2-028_P1	BT2	BT2-028_P1.png	Digimon	5	Blue	8	3	7000	Vaccine	Holy Dragon
AeroVeedramon/BT2-028_P2	BT2	BT2-028_P2.png	Digimon	5	Blue	8	3	7000	Vaccine	Holy Dragon
MegaSeadramon/BT2-029	BT2	BT2-029.png	Digimon	5	Blue	8	3	8000	Data	Sea Animal
Vikemon/BT2-031	BT2	BT2-031.png	Digimon	6	Blue	12	4	12000	Free	Beastkin
UlforceVeedramon/BT2-032	BT2	BT2-032.png	Digimon	6	Blue	13	3	11000	Vaccine	Holy Warrior/Royal Knight
UlforceVeedramon/BT2-032_P1	BT2	BT2-032_P1.png	Digimon	6	Blue	13	3	11000	Vaccine	Holy Warrior/Royal Knight
UlforceVeedramon/BT2-032_P2	BT2	BT2-032_P2.png	Digimon	6	Blue	13	3	11000	Vaccine	Holy Warrior/Royal Knight
Agumon/BT2-033	BT2	BT2-033.png	Digimon	3	Yellow	3	0	3000	Vaccine	Dinosaur
Salamon/BT2-034	BT2	BT2-034.png	Digimon	3	Yellow	4	0	2000	Vaccine	Mammal
Salamon/BT2-034_P1	BT2	BT2-034_P1.png	Digimon	3	Yellow	4	0	2000	Vaccine	Mammal
GeoGreymon/BT2-035	BT2	BT2-035.png	Digimon	4	Yellow	4	2	4000	Vaccine	Dinosaur
Gatomon/BT2-036	BT2	BT2-036.png	Digimon	4	Yellow	5	2	3000	Vaccine	Holy Beast
Angewomon/BT2-037	BT2	BT2-037.png	Digimon	5	Yellow	7	3	10000	Vaccine	Archangel
Angewomon/BT2-037_P1	BT2	BT2-037_P1.png	Digimon	5	Yellow	7	3	10000	Vaccine	Archangel
RizeGreymon/BT2-038	BT2	BT2-038.png	Digimon	5	Yellow	8	3	7000	Vaccine	Cyborg
RizeGreymon/BT2-038_P1	BT2	BT2-038_P1.png	Digimon	5	Yellow	8	3	7000	Vaccine	Cyborg
RizeGreymon/BT2-038_P2	BT2	BT2-038_P2.png	Digimon	5	Yellow	8	3	7000	Vaccine	Cyborg
Ophanimon/BT2-040	BT2	BT2-040.png	Digimon	6	Yellow	12	3	11000	Vaccine	Throne/Three Great Angels
ShineGreymon/BT2-041	BT2	BT2-041.png	Digimon	6	Yellow	12	4	11000	Vaccine	Light Dragon
ShineGreymon/BT2-041_P1	BT2	BT2-041_P1.png	Digimon	6	Yellow	12	4	11000	Vaccine	Light Dragon
