Name	Set	ImageFile	Category	Level	Color	PlayCost	DigivolutionCost	DP	Attribute	Type
DemiMeramon/BT6-001	BT6	BT6-001.png	Digi-Egg	2	Red	-	-	-	-	Flame
DemiMeramon/BT6-001	BT6	BT6-001_P1.png	Digi-Egg	2	Red	-	-	-	-	Flame
Kyaromon/BT6-002	BT6	BT6-002.png	Digi-Egg	2	Blue	-	-	-	-	Lesser
Kyaromon/BT6-002	BT6	BT6-002_P1.png	Digi-Egg	2	Blue	-	-	-	-	Lesser
Bibimon/BT6-003	BT6	BT6-003.png	Digi-Egg	2	Yellow	-	-	-	-	Lesser
Bibimon/BT6-003	BT6	BT6-003_P1.png	Digi-Egg	2	Yellow	-	-	-	-	Lesser
Pinamon/BT6-004	BT6	BT6-004.png	Digi-Egg	2	Green	-	-	-	-	Bird
Pinamon/BT6-004	BT6	BT6-004_P1.png	Digi-Egg	2	Green	-	-	-	-	Bird
Pagumon/BT6-005	BT6	BT6-005.png	Digi-Egg	2	Black	-	-	-	-	Lesser
Pagumon/BT6-005	BT6	BT6-005_P1.png	Digi-Egg	2	Black	-	-	-	-	Lesser
Tsunomon/BT6-006	BT6	BT6-006.png	Digi-Egg	2	Purple	-	-	-	-	Lesser
Tsunomon/BT6-006	BT6	BT6-006_P1.png	Digi-Egg	2	Purple	-	-	-	-	Lesser
Upamon/BT1-003	BT1	BT1-003_P1.png	Digi-Egg	2	Blue	-	-	-	-	Amphibian
Agumon/BT6-007	BT6	BT6-007.png	Digimon	3	Red	3	0	2000	Vaccine	Reptile
Agumon/BT6-007	BT6	BT6-007_P1.png	Digimon	3	Red	3	0	2000	Vaccine	Reptile
Shoutmon/BT6-008	BT6	BT6-008.png	Digimon	3	Red	3	0	2000	Data	Mini Dragon
Huckmon/BT6-009	BT6	BT6-009.png	Digimon	3	Red	3	0	2000	Data	Mini Dragon
Flamemon/BT6-010	BT6	BT6-010.png	Digimon	3	Red	4	0	3000	Variable	Wizard
BaoHuckmon/BT6-011	BT6	BT6-011.png	Digimon	4	Red	5	2	6000	Data	Dinosaur
Deltamon/BT6-012	BT6	BT6-012.png	Digimon	4	Red	5	2	7000	Virus	Composite
Megadramon/BT6-013	BT6	BT6-013.png	Digimon	5	Red	6	3	7000	Virus	Cyborg
Asuramon/BT6-014	BT6	BT6-014.png	Digimon	5	Red	7	3	8000	Vaccine	Wizard
SaviorHuckmon/BT6-015	BT6	BT6-015.png	Digimon	5	Red	7	3	7000	Data	Dragonkin
Jesmon/BT6-016	BT6	BT6-016_P1.png	Digimon	6	Red	11	3	11000	Data	Holy Warrior/Royal Knight
Jesmon/BT6-016	BT6	BT6-016.png	Digimon	6	Red	11	3	11000	Data	Holy Warrior/Royal Knight
MagnaKidmon/BT6-017	BT6	BT6-017.png	Digimon	6	Red	12	4	11000	Virus	Dragonkin/Three Musketeers
Agumon - Bond of Bravery/BT6-018	BT6	BT6-018.png	Digimon	7	Red	14	3	14000	Unknown	Unknown
Agumon - Bond of Bravery/BT6-018	BT6	BT6-018_P1.png	Digimon	7	Red	14	3	14000	Unknown	Unknown
Gabumon/BT6-019	BT6	BT6-019.png	Digimon	3	Blue	3	0	2000	Data	Reptile
Gabumon/BT6-019	BT6	BT6-019_P1.png	Digimon	3	Blue	3	0	2000	Data	Reptile
Gizamon/BT6-020	BT6	BT6-020.png	Digimon	3	Blue	3	0	2000	Virus	Sea Animal
ModokiBetamon/BT6-021	BT6	BT6-021.png	Digimon	3	Blue	3	0	2000	Data	Amphibian
Strabimon/BT6-022	BT6	BT6-022.png	Digimon	3	Blue	4	0	3000	Variable	Beastkin
Octomon/BT6-023	BT6	BT6-023.png	Digimon	4	Blue	5	2	7000	Virus	Mollusk
Mojyamon/BT6-024	BT6	BT6-024.png	Digimon	4	Blue	5	2	5000	Vaccine	Elusive Beast
Panjyamon/BT6-025	BT6	BT6-025.png	Digimon	5	Blue	5	3	6000	Data	Beastkin
Dragomon/BT6-026	BT6	BT6-026.png	Digimon	5	Blue	6	3	7000	Virus	Aquabeast
Majiramon/BT6-027	BT6	BT6-027.png	Digimon	5	Blue	7	3	7000	Data	Holy Dragon/Deva
Pukumon/BT6-028	BT6	BT6-028.png	Digimon	6	Blue	11	3	11000	Virus	Mutant
Azulongmon/BT6-029	BT6	BT6-029.png	Digimon	6	Blue	13	5	13000	Data	Holy Dragon/Four Great Dragons/Four Sovereigns
Gabumon - Bond of Friendship/BT6-030	BT6	BT6-030.png	Digimon	7	Blue	14	3	14000	Unknown	Unknown
Gabumon - Bond of Friendship/BT6-030	BT6	BT6-030_P1.png	Digimon	7	Blue	14	3	14000	Unknown	Unknown
Tinkermon/BT6-031	BT6	BT6-031.png	Digimon	3	Yellow	3	0	2000	Virus	Fairy
Tapirmon/BT6-032	BT6	BT6-032.png	Digimon	3	Yellow	3	0	2000	Vaccine	Holy Beast
Pulsemon/BT6-033	BT6	BT6-033.png	Digimon	3	Yellow	3	0	2000	Vaccine	Beastkin
